"v2.0"
"Cím / téma";"Webhely";"href"
"Calculate time difference in Windows batch file";"stackoverflow";"<a href='https://stackoverflow.com/questions/9922498/calculate-time-difference-in-windows-batch-file'><i class='fa-solid fa-arrow-up-right-from-square'></i></a>"
"CSS Horizontal Navigation Bar";"W3Schools";"<a href='https://www.w3schools.com/Css/css_navbar_horizontal.asp'><i class='fa-solid fa-arrow-up-right-from-square'></i></a>"
"Disable a HTML &lt;a&gt; link/anchor tag";"Code with Hugo";"<a href='https://codewithhugo.com/disable-html-anchor/'><i class='fa-solid fa-arrow-up-right-from-square'></i></a>"
